Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,log_rtn,ma14,rsi14,ma50,rsi50,ma200,rsi200,vol_1d_change,vol_1d_change_ma10,1d_future_log_rtn,log_rtn_lag_0,log_rtn_lag_1,log_rtn_lag_2,log_rtn_lag_3,log_rtn_lag_4,log_rtn_lag_5,log_rtn_lag_6,log_rtn_lag_7,log_rtn_lag_8,log_rtn_lag_9,log_rtn_lag_10,log_rtn_lag_11,log_rtn_lag_12,log_rtn_lag_13,log_rtn_lag_14,month,month_sin,month_cos,1d_future_month,1d_future_month_sin,1d_future_month_cos
2000-01-18,55.63,56.13,52.75,52.81,476800.0,0.0,1.0,43.92940242264,44.324237964817,41.655149699699,41.70252996476,476800.0,-0.05202205736836859,,,,,,,-0.22398212578683085,-0.0922646331123714,0.010735577257535104,-0.05202205736836859,0.01704174672851563,0.0834770128554626,0.008583743691380648,-0.05423603325631585,-0.01825245892667408,0.0024269590928709963,0.008258305192368077,0.0047227819907609036,-0.049682454033557484,,,,,,1,0.49999999999999994,0.8660254037844387,1.0,0.49999999999999994,0.8660254037844387
2000-01-19,52.75,54.63,52.63,53.38,310400.0,0.0,1.0,41.655149699699,43.139731338285,41.560389169577,42.152642482842,310400.0,0.010735577257535104,,,,,,,-0.4292353274420764,-0.09666751081661337,-0.01776648508087387,0.010735577257535104,-0.05202205736836859,0.01704174672851563,0.0834770128554626,0.008583743691380648,-0.05423603325631585,-0.01825245892667408,0.0024269590928709963,0.008258305192368077,0.0047227819907609036,-0.049682454033557484,,,,,1,0.49999999999999994,0.8660254037844387,1.0,0.49999999999999994,0.8660254037844387
2000-01-20,54.13,54.13,51.94,52.44,368200.0,0.0,1.0,42.744895796108,42.744895796108,41.015516121372,41.410351663549,368200.0,-0.01776648508087387,,,,,,,0.1707644804899138,-0.11166453436109987,0.008355536647932277,-0.01776648508087387,0.010735577257535104,-0.05202205736836859,0.01704174672851563,0.0834770128554626,0.008583743691380648,-0.05423603325631585,-0.01825245892667408,0.0024269590928709963,0.008258305192368077,0.0047227819907609036,-0.049682454033557484,,,,1,0.49999999999999994,0.8660254037844387,1.0,0.49999999999999994,0.8660254037844387
2000-01-21,53.13,53.31,50.28,52.88,448900.0,0.0,1.0,41.955224711754,42.097365506938,39.704662121343,41.757806940665,448900.0,0.008355536647932277,41.91912546218321,,,,,,0.19817387698890898,-0.09072052530369099,-0.016781476962004785,0.008355536647932277,-0.01776648508087387,0.010735577257535104,-0.05202205736836859,0.01704174672851563,0.0834770128554626,0.008583743691380648,-0.05423603325631585,-0.01825245892667408,0.0024269590928709963,0.008258305192368077,0.0047227819907609036,-0.049682454033557484,,,1,0.49999999999999994,0.8660254037844387,1.0,0.49999999999999994,0.8660254037844387
2000-01-24,53.5,54.25,51.38,52.0,573000.0,0.0,1.0,42.247403012965,42.839656326231,40.573300314133,41.062896386433,573000.0,-0.016781476962004785,41.72170769109456,40.62165058949543,,,,,0.24408557092685318,-0.03109690238305716,0.03198304585304902,-0.016781476962004785,0.008355536647932277,-0.01776648508087387,0.010735577257535104,-0.05202205736836859,0.01704174672851563,0.0834770128554626,0.008583743691380648,-0.05423603325631585,-0.01825245892667408,0.0024269590928709963,0.008258305192368077,0.0047227819907609036,-0.049682454033557484,,1,0.49999999999999994,0.8660254037844387,1.0,0.49999999999999994,0.8660254037844387
2000-01-25,51.81,53.88,51.38,53.69,497200.0,0.0,1.0,40.912858880406,42.54747802502,40.573300314133,42.397440518992,497200.0,0.03198304585304902,41.77134415925399,45.89843749999885,,,,,-0.1418933570781835,0.01957663207470612,-0.002424243611504277,0.03198304585304902,-0.016781476962004785,0.008355536647932277,-0.01776648508087387,0.010735577257535104,-0.05202205736836859,0.01704174672851563,0.0834770128554626,0.008583743691380648,-0.05423603325631585,-0.01825245892667408,0.0024269590928709963,0.008258305192368077,0.0047227819907609036,-0.049682454033557484,1,0.49999999999999994,0.8660254037844387,1.0,0.49999999999999994,0.8660254037844387
2000-01-26,54.0,54.22,52.56,53.56,541500.0,0.0,1.0,42.642238555142,42.8159661937,41.505112193672,42.294783278026,541500.0,-0.002424243611504277,41.79954669798092,45.56301267710579,,,,,0.08535070680448922,-0.06011371816654794,0.08032990719301379,-0.002424243611504277,0.03198304585304902,-0.016781476962004785,0.008355536647932277,-0.01776648508087387,0.010735577257535104,-0.05202205736836859,0.01704174672851563,0.0834770128554626,0.008583743691380648,-0.05423603325631585,-0.01825245892667408,0.0024269590928709963,0.008258305192368077,0.0047227819907609036,1,0.49999999999999994,0.8660254037844387,1.0,0.49999999999999994,0.8660254037844387
2000-01-27,53.75,58.63,53.63,57.75,967300.0,0.29,1.0,42.657963607038,46.530909884291,42.562727223172,45.832509735934,967300.0,0.08032990719301379,42.05562574962156,57.17726052484052,,,,,0.580165618747456,0.01970474615494147,-0.028452920447799037,0.08032990719301379,-0.002424243611504277,0.03198304585304902,-0.016781476962004785,0.008355536647932277,-0.01776648508087387,0.010735577257535104,-0.05202205736836859,0.01704174672851563,0.0834770128554626,0.008583743691380648,-0.05423603325631585,-0.01825245892667408,0.0024269590928709963,0.008258305192368077,1,0.49999999999999994,0.8660254037844387,1.0,0.49999999999999994,0.8660254037844387
2000-01-28,57.25,57.25,54.88,56.13,801400.0,0.0,1.0,45.435691469822,45.435691469822,43.554772888451,44.546818553731,801400.0,-0.028452920447799037,42.21253705675013,52.77081965841622,,,,,-0.18814848698645714,0.05579637965989177,0.052067980878633006,-0.028452920447799037,0.08032990719301379,-0.002424243611504277,0.03198304585304902,-0.016781476962004785,0.008355536647932277,-0.01776648508087387,0.010735577257535104,-0.05202205736836859,0.01704174672851563,0.0834770128554626,0.008583743691380648,-0.05423603325631585,-0.01825245892667408,0.0024269590928709963,1,0.49999999999999994,0.8660254037844387,1.0,0.49999999999999994,0.8660254037844387
2000-01-31,56.19,59.31,56.13,59.13,440500.0,0.0,1.0,44.594436745665,47.070582726204,44.546818553731,46.927728150403,440500.0,0.052067980878633006,42.59422626019984,59.062628010579424,,,,,-0.59844975282581,-0.03031687961617368,0.010430780978884488,0.052067980878633006,-0.028452920447799037,0.08032990719301379,-0.002424243611504277,0.03198304585304902,-0.016781476962004785,0.008355536647932277,-0.01776648508087387,0.010735577257535104,-0.05202205736836859,0.01704174672851563,0.0834770128554626,0.008583743691380648,-0.05423603325631585,-0.01825245892667408,1,0.49999999999999994,0.8660254037844387,2.0,0.8660254037844386,0.5000000000000001
2000-02-01,58.88,60.0,58.56,59.75,730800.0,0.0,1.0,46.729319017347,47.618191933438,46.475355327036,47.419782800382,730800.0,0.010430780978884488,43.16786833968413,60.24145660102636,,,,,0.5062293791276175,0.04270427087527115,-0.018922679835499782,0.010430780978884488,0.052067980878633006,-0.028452920447799037,0.08032990719301379,-0.002424243611504277,0.03198304585304902,-0.016781476962004785,0.008355536647932277,-0.01776648508087387,0.010735577257535104,-0.05202205736836859,0.01704174672851563,0.0834770128554626,0.008583743691380648,-0.05423603325631585,2,0.8660254037844386,0.5000000000000001,2.0,0.8660254037844386,0.5000000000000001
